,Sex,District,Avg_score
4426,female,30,78
4427,female,8,77
4428,female,31,88
4429,female,24,73
4430,male,19,90
4431,female,14,78
4432,female,31,75
4433,male,27,83
4434,male,5,74
4435,male,5,78
4436,female,24,82
4437,female,23,70
4438,male,25,65
4439,male,6,93
4440,male,32,72
4441,male,16,82
4442,female,23,81
4443,male,19,74
4444,female,29,83
4445,female,14,86
4446,female,3,73
4447,male,13,84
4448,male,8,84
4449,male,31,83
4450,male,14,76
4451,female,26,81
4452,male,24,88
4453,male,12,80
4454,female,27,78
4455,female,21,90
4456,male,12,76
4457,female,10,84
4458,male,12,84
4459,female,29,84
4460,female,30,76
4461,female,31,80
4462,female,31,84
4463,female,17,68
4464,male,23,76
4465,female,11,82
4466,female,15,88
4467,female,5,89
4468,female,28,69
4469,female,17,75
4470,male,31,84
4471,male,27,76
4472,male,26,73
4473,female,9,92
4474,male,12,86
4475,male,28,93
4476,male,4,80
4477,male,7,68
4478,female,22,80
4479,female,24,78
4480,male,11,83
4481,male,30,79
4482,female,19,78
4483,male,28,82
4484,female,2,85
4485,female,18,71
4486,female,18,87
4487,male,10,80
4488,female,13,85
4489,male,9,72
4490,female,13,70
4491,female,9,86
4492,male,4,79
4493,male,12,81
4494,male,21,91
4495,male,2,74
4496,female,7,82
4497,male,2,80
4498,male,16,71
4499,female,26,85
4500,male,24,84
4501,male,1,78
4502,female,32,90
4503,male,1,72
4504,male,25,72
4505,male,6,79
4506,male,31,70
4507,male,1,88
4508,female,19,70
4509,male,6,92
4510,male,22,69
4511,male,3,72
4512,male,3,75
4513,female,31,86
4514,male,19,85
4515,male,25,71
4516,male,25,65
4517,female,4,84
4518,male,23,84
4519,male,2,66
4520,female,32,72
4521,female,1,74
4522,female,25,83
4523,male,20,84
4524,male,18,88
4525,male,25,86
4526,female,12,93
4527,male,28,72
4528,male,16,79
4529,female,16,88
4530,male,32,84
4531,male,29,73
4532,male,16,90
4533,female,21,71
4534,female,24,92
4535,male,14,84
4536,female,30,73
4537,female,7,76
4538,male,31,85
4539,male,18,77
4540,male,13,82
4541,female,31,83
4542,female,1,93
4543,male,14,68
4544,male,27,84
4545,female,23,92
4546,male,9,90
4547,female,10,92
4548,female,14,85
4549,female,4,79
4550,female,9,70
4551,female,9,79
4552,male,17,95
4553,female,19,71
4554,male,29,90
4555,male,24,82
4556,male,7,70
4557,male,21,64
4558,male,9,83
4559,male,25,70
4560,female,15,88
4561,male,29,89
4562,male,24,81
4563,female,18,79
4564,male,8,69
4565,male,30,78
4566,female,7,71
4567,male,16,85
4568,male,10,76
4569,male,30,76
4570,female,31,78
4571,female,29,80
4572,female,9,81
4573,female,3,74
4574,female,31,94
4575,female,27,71
4576,male,28,82
4577,female,27,80
4578,female,23,63
4579,male,12,74
4580,female,26,89
4581,male,28,78
4582,female,24,85
4583,male,19,82
4584,male,5,79
4585,female,3,79
4586,male,10,83
4587,female,15,74
4588,female,21,81
4589,male,31,84
4590,male,31,76
4591,female,30,72
4592,male,31,90
4593,female,26,89
4594,male,4,74
4595,male,29,88
4596,female,25,84
4597,female,7,91
4598,female,8,84
4599,female,12,91
4600,male,1,78
4601,male,13,78
4602,male,24,86
4603,male,27,74
4604,male,24,67
4605,male,5,83
4606,female,13,85
4607,female,22,89
4608,male,4,91
4609,female,24,83
4610,male,12,87
4611,male,1,88
4612,male,27,78
4613,female,8,95
4614,male,13,82
4615,male,20,73
4616,male,8,89
4617,male,2,76
4618,male,18,84
4619,female,19,66
4620,male,1,78
4621,female,4,87
4622,male,5,88
4623,female,23,83
4624,male,8,83
4625,female,31,85
4626,male,17,81
4627,female,25,70
4628,female,9,78
4629,female,19,92
4630,male,24,70
4631,female,31,72
4632,male,13,87
4633,male,29,85
4634,female,22,75
4635,female,20,84
4636,female,23,73
4637,female,2,73
4638,male,8,78
4639,female,16,79
4640,male,2,84
4641,male,10,78
4642,male,3,81
4643,female,9,82
4644,female,19,96
4645,female,10,68
4646,male,26,80
4647,female,17,78
4648,female,8,86
4649,male,28,80
4650,male,15,75
4651,female,5,75
4652,male,29,79
4653,male,19,68
4654,female,14,72
4655,female,6,79
4656,male,6,77
4657,female,12,78
4658,female,25,88
4659,female,27,70
4660,female,17,88
4661,male,31,85
4662,female,8,79
4663,female,16,90
4664,female,17,72
4665,male,26,68
4666,female,31,78
4667,female,32,75
4668,male,18,79
4669,female,8,76
4670,male,7,86
4671,female,4,68
4672,male,26,81
4673,female,25,75
4674,female,11,66
4675,male,17,82
4676,female,32,78
4677,female,7,82
4678,female,32,74
4679,male,31,80
4680,male,20,74
4681,male,32,85
4682,female,3,84
4683,male,24,74
4684,male,10,89
4685,male,28,83
4686,male,12,73
4687,male,19,87
4688,female,13,74
4689,female,20,73
4690,female,15,80
4691,female,32,84
4692,female,4,76
4693,male,13,90
4694,female,27,70
4695,female,26,73
4696,female,7,85
4697,male,14,84
4698,male,9,73
4699,female,19,75
4700,female,8,70
4701,male,14,88
4702,male,21,86
4703,female,18,74
4704,male,29,81
4705,female,16,80
4706,female,6,83
4707,female,4,62
4708,male,28,87
4709,female,5,72
4710,female,1,84
4711,female,2,77
4712,male,19,72
4713,female,19,86
4714,male,30,70
4715,male,20,91
4716,female,30,78
4717,male,5,94
4718,female,8,78
4719,male,22,72
4720,female,6,78
4721,female,21,74
4722,male,15,86
4723,male,20,86
4724,female,6,84
4725,male,14,72
4726,male,11,69
4727,female,8,84
4728,female,19,83
4729,male,31,87
4730,male,8,65
4731,male,10,78
4732,male,12,71
4733,male,10,76
4734,male,15,77
4735,male,2,83
4736,female,6,78
4737,male,32,74
4738,male,14,85
4739,female,32,93
4740,male,26,84
4741,female,17,84
4742,male,21,81
4743,female,11,93
4744,male,16,81
4745,female,15,83
4746,male,32,72
4747,male,5,84
4748,male,30,75
4749,male,25,87
4750,male,20,74
4751,female,3,68
4752,female,8,75
4753,female,21,77
4754,female,11,83
4755,male,26,72
4756,female,16,68
4757,male,26,84
4758,female,15,80
4759,male,13,76
4760,female,19,74
4761,female,2,82
4762,female,21,72
4763,male,7,80
4764,female,6,89
4765,male,13,71
4766,male,21,91
4767,male,8,80
4768,female,30,87
4769,male,11,78
4770,female,11,86
4771,male,32,68
4772,male,7,74
4773,male,11,86
4774,female,32,73
4775,male,9,75
4776,female,2,81
4777,male,3,81
4778,male,21,87
4779,male,8,84
4780,male,4,88
4781,female,24,85
4782,female,24,79
4783,male,25,71
4784,male,28,87
4785,male,10,83
4786,female,26,76
4787,female,30,87
4788,female,19,73
4789,female,11,67
4790,male,25,91
4791,female,12,82
4792,male,6,80
4793,male,25,86
4794,male,6,80
4795,male,18,83
4796,female,27,69
4797,female,20,73
4798,male,6,82
4799,female,25,84
4800,male,16,87
4801,male,26,85
4802,male,5,78
4803,female,30,79
4804,male,22,84
4805,male,19,85
4806,female,2,99
4807,male,29,80
4808,female,2,85
4809,male,24,74
4810,male,3,72
4811,female,26,74
4812,female,7,90
4813,male,11,80
4814,female,18,81
4815,male,20,78
4816,female,24,90
4817,female,3,95
4818,male,25,85
4819,female,32,89
4820,female,12,70
4821,female,8,88
4822,female,14,76
4823,female,24,76
4824,male,32,82
4825,female,20,74
4826,female,12,80
4827,male,15,79
4828,female,14,80
4829,female,4,76
4830,male,23,76
4831,male,16,88
4832,female,8,92
4833,male,13,81
4834,female,7,85
4835,female,3,83
4836,male,28,86
4837,male,7,84
4838,male,28,91
4839,female,12,83
4840,female,4,78
4841,male,21,80
4842,female,19,81
4843,female,17,89
4844,male,24,85
4845,male,11,77
4846,female,1,86
4847,male,16,66
4848,female,2,79
4849,male,29,77
4850,female,9,77
4851,male,5,87
4852,female,20,80
4853,female,10,73
4854,female,23,77
4855,male,4,95
4856,female,24,71
4857,male,21,75
4858,female,11,67
4859,female,23,73
4860,male,15,81
4861,male,7,88
4862,female,7,79
4863,male,22,77
4864,male,28,78
4865,female,19,80
4866,female,2,83
4867,male,22,76
4868,male,26,81
4869,female,16,69
4870,male,2,88
4871,male,13,85
4872,male,20,77
4873,male,24,75
4874,male,27,84
4875,female,7,81
4876,male,19,81
4877,male,6,87
4878,male,13,86
4879,male,12,80
4880,male,21,81
4881,male,25,90
4882,male,28,78
4883,male,19,79
4884,male,28,73
4885,female,28,84
4886,male,22,72
4887,female,13,71
4888,male,8,70
4889,male,10,68
4890,male,26,71
4891,female,22,82
4892,female,17,76
4893,male,19,89
4894,male,9,87
4895,male,9,66
4896,male,16,73
4897,male,28,73
4898,male,32,77
4899,female,22,83
4900,male,2,64
4901,male,15,80
4902,female,14,72
4903,female,24,81
4904,female,7,69
4905,female,31,80
4906,female,18,77
4907,male,23,82
4908,female,31,94
4909,female,26,80
4910,female,11,73
4911,female,2,87
4912,female,16,81
4913,female,28,77
4914,female,19,79
4915,male,5,78
4916,female,28,78
4917,female,9,84
4918,male,7,70
4919,male,20,66
4920,female,32,75
4921,male,23,71
4922,male,2,73
4923,female,32,96
4924,male,4,73
4925,female,17,87
4926,male,10,78
4927,female,21,71
4928,female,8,76
4929,female,14,74
4930,female,31,86
4931,female,21,74
4932,female,3,80
4933,male,11,92
4934,female,20,79
4935,female,18,78
4936,male,7,83
4937,male,5,96
4938,female,28,74
4939,male,15,79
4940,male,17,76
4941,male,26,81
4942,male,11,83
4943,female,21,70
4944,female,1,72
4945,female,26,78
4946,male,19,70
4947,female,27,89
4948,male,23,87
4949,female,30,90
4950,male,5,87
4951,male,30,81
4952,male,13,83
4953,female,32,85
4954,female,17,70
4955,male,12,82
4956,male,19,76
4957,female,11,78
4958,female,5,75
4959,male,31,83
4960,male,31,72
4961,female,18,82
4962,female,16,80
4963,female,20,83
4964,female,19,85
4965,female,21,72
4966,female,21,75
4967,female,18,86
4968,female,29,77
4969,male,10,72
4970,female,30,74
4971,male,27,89
4972,male,1,87
4973,female,12,85
4974,male,30,81
4975,male,20,83
4976,male,9,81
4977,female,14,65
4978,male,9,82
4979,female,15,88
4980,male,32,80
4981,female,11,84
4982,female,23,80
4983,female,30,77
4984,male,15,69
4985,male,27,80
4986,male,14,81
4987,female,10,85
4988,female,5,77
4989,male,30,78
4990,male,6,78
4991,male,9,76
4992,male,31,85
4993,female,24,88
4994,male,23,69
4995,female,26,76
4996,male,1,81
4997,female,2,86
4998,male,4,80
4999,female,25,82
5000,male,7,86
5001,male,9,65
5002,male,18,78
5003,female,31,86
5004,female,25,69
5005,female,30,91
5006,male,15,83
5007,female,12,79
5008,female,22,85
5009,female,7,82
5010,male,7,72
5011,male,10,74
5012,female,3,69
5013,male,15,81
5014,male,31,76
5015,male,15,73
5016,male,14,78
5017,male,19,77
5018,male,24,78
5019,male,3,82
5020,female,32,87
5021,female,11,73
5022,male,11,72
5023,female,24,75
5024,female,24,84
5025,female,29,77
5026,female,18,88
5027,female,30,85
5028,female,30,80
5029,female,25,74
5030,female,24,79
5031,female,21,83
5032,female,3,82
5033,male,23,87
5034,female,18,81
5035,female,8,87
5036,female,8,76
5037,female,32,71
5038,male,14,80
5039,male,18,68
5040,male,22,88
5041,male,6,66
5042,male,18,84
5043,male,23,89
5044,female,26,82
5045,female,21,74
5046,male,32,71
5047,male,2,78
5048,male,16,70
5049,female,4,70
5050,female,18,85
5051,male,3,81
5052,female,25,71
5053,female,3,71
5054,female,29,72
5055,female,26,76
5056,female,4,83
5057,female,12,81
5058,male,27,87
5059,male,26,84
5060,female,20,86
5061,male,2,84
5062,female,8,92
5063,male,22,76
5064,male,25,81
5065,male,30,85
5066,male,7,89
5067,female,8,73
5068,female,20,82
5069,female,11,75
5070,male,21,79
5071,male,7,73
5072,male,32,81
5073,female,17,80
5074,female,15,71
5075,male,6,74
5076,female,22,94
5077,male,18,79
5078,female,20,88
5079,male,17,95
5080,male,13,80
5081,male,4,82
5082,female,7,81
5083,female,25,78
5084,male,27,90
5085,female,3,84
5086,female,31,78
5087,male,5,75
5088,male,9,82
5089,male,5,91
5090,female,24,87
5091,male,23,66
5092,female,30,79
5093,male,18,86
5094,male,10,81
5095,female,18,81
5096,female,17,76
5097,female,5,67
5098,male,28,87
5099,female,19,84
5100,male,24,86
5101,male,6,79
5102,female,25,69
5103,female,18,84
5104,female,1,76
5105,male,4,82
5106,male,18,93
5107,female,9,75
5108,male,26,90
5109,female,19,86
5110,female,14,86
5111,male,25,83
5112,female,21,72
5113,male,7,85
5114,male,23,76
5115,female,25,70
5116,male,22,88
5117,female,2,83
5118,male,2,69
5119,male,26,76
5120,male,30,67
5121,female,8,77
5122,female,12,83
5123,male,30,84
5124,male,25,77
5125,male,16,62
5126,female,15,70
5127,male,29,85
5128,male,8,79
5129,male,32,70
5130,male,14,85
5131,male,12,82
5132,female,16,76
5133,female,22,81
5134,male,7,81
5135,male,6,74
5136,male,32,87
5137,female,29,78
5138,female,12,72
5139,female,32,77
5140,female,4,87
5141,male,17,73
5142,female,9,75
5143,female,32,79
5144,male,27,79
5145,male,19,75
5146,female,23,75
5147,male,19,85
5148,male,10,88
5149,female,22,75
5150,female,23,92
5151,female,27,86
5152,male,4,74
5153,female,24,96
5154,male,14,83
5155,female,23,84
5156,male,19,85
5157,female,28,74
5158,male,29,83
5159,female,15,78
5160,male,5,74
5161,male,2,77
5162,male,4,77
5163,male,13,81
5164,female,7,81
5165,female,32,82
5166,male,7,83
5167,male,15,81
5168,female,5,83
5169,female,14,76
5170,female,7,76
5171,female,6,78
5172,male,10,68
5173,female,1,80
5174,female,4,77
5175,female,7,68
5176,male,19,68
5177,female,6,78
5178,female,1,88
5179,female,28,76
5180,male,3,73
5181,male,19,90
5182,female,21,69
5183,female,13,92
5184,female,15,63
5185,male,24,76
5186,male,32,67
5187,female,21,82
5188,male,27,90
5189,female,23,72
5190,female,12,76
5191,male,18,65
5192,male,19,76
5193,male,15,77
5194,female,11,75
5195,male,30,84
5196,female,16,72
5197,female,12,85
5198,female,11,71
5199,female,26,88
5200,female,32,80
5201,male,32,75
5202,female,19,94
5203,female,1,71
5204,male,14,80
5205,male,18,80
5206,female,8,64
5207,male,32,83
5208,female,32,68
5209,male,32,83
5210,male,16,71
5211,female,31,81
5212,female,13,86
5213,female,14,75
5214,male,29,71
5215,male,23,87
5216,female,18,86
5217,male,21,79
5218,male,27,89
5219,male,11,88
5220,male,27,78
5221,female,18,91
5222,male,28,76
5223,male,31,82
5224,female,21,77
5225,female,3,76
5226,female,22,89
5227,male,14,85
5228,male,31,80
5229,male,25,91
5230,male,29,87
5231,female,29,88
5232,female,7,80
5233,female,22,82
5234,female,8,72
5235,female,23,74
5236,female,11,74
5237,male,20,84
5238,female,2,74
5239,female,27,87
5240,male,23,77
5241,male,12,90
5242,male,25,71
5243,male,6,85
5244,female,4,82
5245,male,2,90
5246,female,23,77
5247,female,16,82
5248,female,6,75
5249,female,29,83
5250,female,6,94
5251,female,14,79
5252,female,25,77
5253,female,2,79
5254,male,2,83
5255,female,12,81
5256,female,4,84
5257,male,5,78
5258,female,16,82
5259,male,21,78
5260,female,18,65
5261,female,16,81
5262,female,21,71
5263,male,18,83
5264,male,20,81
5265,female,32,78
5266,male,29,83
5267,female,1,75
5268,male,3,77
5269,female,10,82
5270,female,5,79
5271,female,15,71
5272,female,3,83
5273,female,15,67
5274,female,14,73
5275,male,1,84
5276,male,9,89
5277,male,11,78
5278,female,5,74
5279,female,19,90
5280,female,28,81
5281,male,23,87
5282,female,13,77
5283,male,9,79
5284,female,17,81
5285,male,31,66
5286,female,20,90
5287,female,30,70
5288,male,21,83
5289,male,20,90
5290,female,8,83
5291,female,4,84
5292,female,30,84
5293,female,18,80
5294,male,23,84
5295,female,16,81
5296,female,18,91
5297,female,15,75
5298,male,18,84
5299,female,11,74
5300,female,25,86
5301,male,18,66
5302,male,8,92
5303,female,18,82
5304,male,26,79
5305,male,18,84
5306,male,17,67
5307,male,17,79
5308,female,6,83
5309,male,14,76
5310,male,22,83
5311,male,15,83
5312,female,16,79
5313,female,4,79
5314,female,18,95
5315,female,17,70
5316,female,3,79
5317,female,17,74
5318,male,8,84
5319,male,28,69
5320,male,20,72
5321,male,1,76
5322,female,23,82
5323,male,26,76
5324,male,24,71
5325,male,11,86
5326,male,30,84
5327,female,20,84
5328,male,17,79
5329,female,29,81
5330,male,16,80
5331,male,27,72
5332,female,23,79
5333,male,19,72
5334,female,17,79
5335,female,16,78
5336,male,14,79
5337,male,1,73
5338,female,12,87
5339,female,14,65
5340,female,3,86
5341,male,4,79
5342,female,22,70
5343,female,26,88
5344,male,23,80
5345,female,17,86
5346,female,8,85
5347,male,29,82
5348,male,4,74
5349,male,2,75
5350,female,23,80
5351,male,11,91
5352,male,15,88
5353,female,19,75
5354,male,16,71
5355,female,2,80
5356,male,12,79
5357,male,11,89
5358,male,20,82
5359,female,30,73
5360,male,5,71
5361,female,27,84
5362,male,23,72
5363,male,12,90
5364,male,24,87
5365,female,20,77
5366,male,30,73
5367,male,9,82
5368,female,17,77
5369,female,13,81
5370,female,26,79
5371,female,7,81
5372,male,26,84
5373,female,21,77
5374,male,18,67
5375,female,9,81
5376,male,3,89
5377,male,9,64
5378,male,22,72
5379,male,11,83
5380,male,1,72
5381,female,10,80
5382,female,15,71
5383,female,32,78
5384,female,23,87
5385,female,7,87
5386,female,10,86
5387,male,16,76
5388,male,13,76
5389,female,12,87
5390,male,26,82
5391,female,11,69
5392,male,20,89
5393,male,30,73
5394,male,21,82
5395,female,23,80
5396,male,23,89
5397,male,32,91
5398,female,1,84
5399,male,29,68
5400,female,2,83
5401,female,25,74
5402,female,2,74
5403,male,21,78
5404,female,7,77
5405,male,18,69
5406,female,32,85
5407,female,1,85
5408,female,6,72
5409,male,13,79
5410,female,30,75
5411,female,27,78
5412,male,1,82
5413,male,14,85
5414,male,23,91
5415,male,25,82
5416,female,21,88
5417,female,31,80
5418,male,26,86
5419,male,26,76
5420,male,2,80
5421,female,29,78
5422,male,25,75
5423,female,26,82
5424,female,26,86
5425,male,28,83
5426,male,11,86
5427,female,16,82
5428,female,25,83
5429,female,1,91
5430,female,8,71
5431,female,16,67
5432,male,1,73
5433,male,2,86
5434,female,13,77
5435,female,22,73
5436,male,23,82
5437,male,21,81
5438,female,11,83
5439,female,19,86
5440,male,3,87
5441,female,23,73
5442,female,30,70
5443,female,5,91
5444,male,16,94
5445,female,32,74
5446,female,6,70
5447,male,22,81
5448,female,15,84
5449,male,19,78
5450,female,8,84
5451,female,2,76
5452,male,22,77
5453,male,5,81
5454,female,21,75
5455,male,20,80
5456,female,26,92
5457,female,27,83
5458,male,2,81
5459,female,12,78
5460,female,15,84
5461,female,9,81
5462,female,1,82
5463,female,3,82
5464,female,14,86
5465,female,10,76
5466,male,27,78
5467,male,19,84
5468,male,13,83
5469,female,27,91
5470,female,24,80
5471,female,26,82
5472,female,13,87
5473,male,10,72
5474,female,14,91
5475,female,7,77
5476,female,6,75
5477,male,29,77
5478,female,17,78
5479,male,31,64
5480,male,8,72
5481,female,17,81
5482,female,26,69
5483,female,7,66
5484,male,21,73
5485,female,14,83
5486,female,15,80
5487,male,3,65
5488,male,18,80
5489,male,11,77
5490,female,32,71
5491,male,31,82
5492,male,21,88
5493,male,15,80
5494,male,29,78
5495,male,25,82
5496,male,15,83
5497,female,4,64
5498,female,20,76
5499,male,14,77
5500,male,2,87
5501,female,18,93
5502,male,14,80
5503,male,10,78
5504,female,25,75
5505,male,31,78
5506,male,32,82
5507,female,23,82
5508,male,28,84
5509,female,2,80
5510,male,11,73
5511,female,30,79
5512,male,17,79
5513,male,25,75
5514,female,24,82
5515,male,22,89
5516,male,27,76
5517,male,30,81
5518,female,12,75
5519,male,32,85
5520,female,7,71
5521,male,26,86
5522,female,16,89
5523,female,32,82
5524,female,10,77
5525,female,6,75
5526,male,14,86
5527,female,8,79
5528,female,6,81
5529,male,31,91
5530,male,19,86
5531,female,2,80
5532,female,22,69
5533,male,11,90
5534,male,26,78
5535,female,25,89
5536,female,25,76
5537,female,28,74
5538,male,29,74
5539,female,11,67
5540,male,27,76
5541,female,24,80
5542,female,31,85
5543,female,21,76
5544,female,20,84
5545,female,4,77
5546,female,32,82
5547,male,23,90
5548,female,4,88
5549,female,29,72
5550,female,29,76
5551,female,8,84
5552,female,4,90
5553,male,19,75
5554,male,28,78
5555,male,27,79
5556,male,9,81
5557,female,8,75
5558,male,2,89
5559,male,4,72
5560,male,2,79
5561,male,8,71
5562,male,18,76
5563,male,15,89
5564,female,25,76
5565,female,6,79
5566,female,18,77
5567,female,16,69
5568,male,31,73
5569,male,18,86
5570,male,10,77
5571,male,4,76
5572,male,30,86
5573,female,12,88
5574,male,9,81
5575,male,14,88
5576,female,27,78
5577,female,27,79
5578,female,12,77
5579,female,14,75
5580,male,6,85
5581,male,1,74
5582,female,1,73
5583,female,25,68
5584,female,28,78
5585,female,24,80
5586,female,8,83
5587,male,31,75
5588,female,3,84
5589,female,32,83
5590,male,22,76
5591,female,3,83
5592,female,24,86
5593,male,31,81
5594,female,2,77
5595,female,16,81
5596,male,17,91
5597,female,10,65
5598,male,13,93
5599,female,17,77
5600,female,20,76
5601,male,11,77
5602,female,24,68
5603,male,6,89
5604,female,18,92
5605,male,16,72
5606,male,22,79
5607,female,21,82
5608,male,31,70
5609,female,7,77
5610,male,22,89
5611,female,13,84
5612,male,29,84
5613,male,5,75
5614,female,18,80
5615,male,8,77
5616,male,24,87
5617,male,9,78
5618,male,5,77
5619,female,27,78
5620,male,29,80
5621,male,21,76
5622,male,12,73
5623,male,15,77
5624,female,22,73
5625,female,25,88
5626,male,24,72
5627,female,10,73
5628,female,29,80
5629,male,2,80
5630,male,30,72
5631,male,3,86
5632,female,19,88
5633,male,32,68
5634,male,19,88
5635,female,7,89
5636,female,4,73
5637,male,26,75
5638,male,7,79
5639,female,1,95
5640,male,3,69
5641,male,12,84
5642,female,10,87
5643,male,23,79
5644,female,24,77
5645,male,30,70
5646,male,10,74
5647,female,24,76
5648,female,1,73
5649,female,18,84
5650,female,16,85
5651,female,22,71
5652,female,22,74
5653,male,19,80
5654,male,23,83
5655,female,1,63
5656,male,17,79
5657,male,18,75
5658,female,22,81
5659,female,6,76
5660,male,15,83
5661,female,29,81
5662,female,4,75
5663,female,14,79
5664,female,11,75
5665,male,19,82
5666,male,24,69
5667,male,3,82
5668,male,11,69
5669,male,1,77
5670,male,32,79
5671,male,23,78
5672,female,22,95
5673,male,6,71
5674,female,20,78
5675,male,28,86
5676,female,6,71
5677,male,4,90
5678,male,25,81
5679,male,21,78
5680,male,25,84
5681,female,7,78
5682,female,4,83
5683,male,10,74
5684,female,10,85
5685,male,4,77
5686,male,32,89
5687,female,4,92
5688,female,8,87
5689,male,24,69
5690,male,18,77
5691,female,13,69
5692,male,18,75
5693,male,12,80
5694,female,19,84
5695,male,28,66
5696,female,23,80
5697,female,15,77
5698,female,23,74
5699,female,9,78
5700,male,7,80
5701,female,23,83
5702,female,24,89
5703,female,7,76
5704,male,7,78
5705,female,14,75
5706,female,11,77
5707,male,8,86
5708,female,28,80
5709,male,15,81
5710,male,1,77
5711,male,29,92
5712,female,19,93
5713,male,21,75
5714,male,28,72
5715,female,17,83
5716,female,32,78
5717,female,22,73
5718,female,2,82
5719,female,10,70
5720,male,26,84
5721,female,12,82
5722,male,22,71
5723,female,20,76
5724,female,21,85
5725,male,21,87
5726,female,15,85
5727,male,30,70
5728,female,31,79
5729,male,18,72
5730,male,17,85
5731,female,19,72
5732,female,16,73
5733,female,32,74
5734,female,10,76
5735,male,22,86
5736,male,16,94
5737,female,26,88
5738,male,1,84
5739,male,12,76
5740,male,26,75
5741,male,30,71
5742,female,14,87
5743,male,13,94
5744,female,2,78
5745,female,9,83
5746,male,8,76
5747,male,27,77
5748,male,25,77
5749,female,2,74
5750,female,1,74
5751,female,2,82
5752,male,30,78
5753,female,10,81
5754,male,7,91
5755,male,7,81
5756,male,19,62
5757,female,27,75
5758,female,14,73
5759,male,3,87
5760,female,20,76
5761,female,30,79
5762,male,18,82
5763,female,30,74
5764,male,31,76
5765,female,8,65
5766,male,2,72
5767,female,30,82
5768,female,17,85
5769,female,13,90
5770,male,11,80
5771,female,32,74
5772,female,25,79
5773,female,11,84
5774,male,20,82
5775,male,18,80
5776,male,28,76
5777,female,10,77
5778,male,25,73
5779,female,8,87
5780,male,2,72
5781,female,7,82
5782,female,3,91
5783,female,23,79
5784,male,12,77
5785,male,20,84
5786,female,30,76
5787,male,9,88
5788,male,13,83
5789,male,17,80
5790,male,20,85
5791,male,6,88
5792,female,7,78
5793,male,29,76
5794,female,25,77
5795,female,18,85
5796,male,14,71
5797,male,3,87
5798,male,24,94
5799,female,14,75
5800,female,27,79
5801,male,29,90
5802,male,25,91
5803,male,28,76
5804,male,27,77
5805,male,32,81
5806,female,12,76
5807,female,18,87
5808,male,23,88
5809,female,30,89
5810,male,8,67
5811,female,4,86
5812,female,9,72
5813,male,10,71
5814,male,28,80
5815,female,17,71
5816,male,6,86
5817,male,8,85
5818,male,6,79
5819,male,28,91
5820,female,7,66
5821,male,1,66
5822,female,21,70
5823,male,13,77
5824,male,23,82
5825,male,25,86
5826,female,17,82
5827,male,30,85
5828,male,7,80
5829,male,18,78
5830,female,12,86
5831,female,19,84
5832,male,32,67
5833,female,9,82
5834,male,17,80
5835,female,6,90
5836,male,18,66
5837,male,31,90
5838,male,9,80
5839,female,18,74
5840,female,13,79
5841,female,4,80
5842,female,7,73
5843,male,13,83
5844,male,26,91
5845,male,2,77
5846,male,30,72
5847,female,4,79
5848,male,4,68
5849,male,26,83
5850,female,26,83
5851,male,12,70
5852,male,1,80
5853,male,22,87
5854,female,14,84
5855,male,30,74
5856,male,31,86
5857,male,12,77
5858,female,18,78
5859,female,8,68
5860,female,12,77
5861,female,29,87
5862,female,14,74
5863,male,18,63
5864,male,28,82
5865,male,14,74
5866,male,27,90
5867,male,30,82
5868,male,24,88
5869,male,13,76
5870,female,14,66
5871,female,30,82
5872,male,27,85
5873,female,7,73
5874,male,25,73
5875,male,5,88
5876,male,11,75
5877,female,19,79
5878,female,28,71
5879,female,17,82
5880,male,8,83
5881,male,32,83
5882,male,26,81
5883,male,14,81
5884,male,1,91
5885,female,26,83
5886,male,4,90
5887,female,29,84
5888,male,32,75
5889,female,26,83
5890,male,3,83
5891,male,32,75
5892,female,1,79
5893,female,27,75
5894,male,17,80
5895,female,6,79
5896,female,23,91
5897,female,17,89
5898,male,6,83
5899,male,21,87
5900,male,17,73
5901,female,8,81
5902,female,24,85
5903,male,8,81
5904,male,27,75
5905,male,22,81
5906,male,3,83
5907,male,14,81
5908,male,20,78
5909,male,2,73
5910,female,32,77
5911,male,9,86
5912,female,24,91
5913,female,10,81
5914,male,21,75
5915,male,10,88
5916,female,6,82
5917,male,8,77
5918,male,23,88
5919,male,7,86
5920,female,25,79
5921,male,31,95
5922,female,13,86
5923,male,5,77
5924,male,3,74
5925,female,18,75
5926,female,18,90
5927,male,27,86
5928,female,18,94
5929,male,25,73
5930,female,19,70
5931,male,27,73
5932,male,2,85
5933,male,2,80
5934,male,14,79
5935,female,21,84
5936,male,13,87
5937,male,21,76
5938,female,21,80
5939,male,16,67
5940,female,23,83
5941,female,31,80
5942,female,28,78
5943,female,28,74
5944,female,19,81
5945,female,2,85
5946,female,2,86
5947,female,20,72
5948,female,13,81
5949,male,8,90
5950,male,29,83
5951,female,32,86
5952,male,21,85
5953,male,6,77
5954,female,25,82
5955,male,12,78
5956,female,24,81
5957,male,12,74
5958,female,19,82
5959,female,21,79
5960,female,24,78
5961,male,18,80
5962,female,17,83
5963,male,20,78
5964,male,30,85
5965,female,19,69
5966,female,25,74
5967,female,13,83
5968,male,21,73
5969,male,6,89
5970,male,19,76
5971,male,12,82
5972,male,2,75
5973,male,22,74
5974,male,26,81
5975,female,3,85
5976,female,24,71
5977,female,7,78
5978,female,26,75
5979,female,29,85
